Date,DayOfWeek,Area,Weather,Festival,AvgTraffic_Area,Traffic_Today,Event,Event_Impact(%),Extra_Time_Minutes
2025-03-24,Monday,Khandagiri,Foggy,None,67,62,None,0,0.0
2025-05-29,Thursday,Master Canteen,Sunny,None,95,97,Accident,27,21.6
2025-06-16,Monday,Jaydev Vihar,Cloudy,None,70,69,None,0,0.0
2025-07-15,Tuesday,Jaydev Vihar,Humid,None,70,75,None,0,0.0
2025-02-17,Monday,Jaydev Vihar,Foggy,None,96,97,Construction Work,5,4.0
2025-05-11,Sunday,Jaydev Vihar,Humid,None,81,84,None,0,0.0
2025-09-07,Sunday,Kalpana Square,Foggy,None,80,75,None,0,0.0
2025-04-26,Saturday,Airport Road,Sunny,None,55,60,None,0,0.0
2025-08-07,Thursday,Jaydev Vihar,Cloudy,None,87,82,Accident,26,20.8
2025-02-24,Monday,Jaydev Vihar,Rainy,None,93,97,Accident,27,21.6
2025-08-24,Sunday,Jaydev Vihar,Rainy,None,99,98,None,0,0.0
2025-03-25,Tuesday,Rasulgarh,Humid,None,75,71,None,0,0.0
2025-08-25,Monday,Jaydev Vihar,Cloudy,None,84,89,Political Rally,17,13.6
2025-04-05,Saturday,Khandagiri,Rainy,None,87,91,None,0,0.0
2025-05-15,Thursday,Khandagiri,Foggy,None,68,71,None,0,0.0
2025-02-18,Tuesday,Rasulgarh,Humid,None,92,89,Bad Roads,6,4.8
2025-07-17,Thursday,Khandagiri,Humid,Rath Yatra,83,86,None,0,0.0
2025-04-14,Monday,Master Canteen,Foggy,None,85,84,None,0,0.0
2025-03-23,Sunday,Kalpana Square,Sunny,None,73,68,None,0,0.0
2025-05-03,Saturday,Khandagiri,Cloudy,None,71,67,None,0,0.0
2025-07-01,Tuesday,Rasulgarh,Sunny,None,91,95,Accident,29,23.2
2025-06-07,Saturday,Kalpana Square,Rainy,None,88,90,None,0,0.0
2025-06-27,Friday,Jaydev Vihar,Rainy,None,96,95,Political Rally,18,14.4
2025-08-14,Thursday,Kalpana Square,Sunny,None,85,90,VIP Convoy,17,13.6
2025-03-30,Sunday,Jaydev Vihar,Sunny,None,78,82,None,0,0.0
2025-05-09,Friday,Jaydev Vihar,Foggy,None,80,85,None,0,0.0
2025-01-03,Friday,Master Canteen,Sunny,None,80,76,None,0,0.0
2025-03-11,Tuesday,Master Canteen,Rainy,Holi,117,100,None,0,0.0
2025-03-18,Tuesday,Airport Road,Foggy,None,55,57,None,0,0.0
2025-01-15,Wednesday,Kalpana Square,Rainy,None,94,98,Construction Work,5,4.0
2025-01-11,Saturday,Airport Road,Humid,None,59,59,None,0,0.0
2025-07-17,Thursday,Kalpana Square,Cloudy,None,65,64,None,0,0.0
2025-02-11,Tuesday,Jaydev Vihar,Cloudy,None,70,65,None,0,0.0
2025-06-21,Saturday,Khandagiri,Sunny,None,68,70,None,0,0.0
2025-05-20,Tuesday,Master Canteen,Cloudy,None,100,95,Political Rally,19,15.2
2025-06-26,Thursday,Rasulgarh,Rainy,None,89,89,None,0,0.0
2025-06-27,Friday,Jaydev Vihar,Sunny,None,70,74,None,0,0.0
2025-07-10,Thursday,Jaydev Vihar,Rainy,Rath Yatra,104,100,None,0,0.0
2025-02-10,Monday,Rasulgarh,Rainy,None,90,90,None,0,0.0
2025-01-18,Saturday,Jaydev Vihar,Cloudy,None,82,78,None,0,0.0
2025-04-11,Friday,Airport Road,Cloudy,None,50,54,None,0,0.0
2025-04-17,Thursday,Master Canteen,Rainy,None,98,100,None,0,0.0
2025-02-09,Sunday,Jaydev Vihar,Rainy,None,107,100,Accident,20,16.0
2025-03-16,Sunday,Airport Road,Rainy,Holi,114,100,Construction Work,12,9.6
2025-02-28,Friday,Rasulgarh,Rainy,None,89,84,None,0,0.0
2025-05-01,Thursday,Airport Road,Cloudy,None,50,54,None,0,0.0
2025-05-23,Friday,Rasulgarh,Sunny,None,92,93,Accident,27,21.6
2025-02-04,Tuesday,Khandagiri,Foggy,None,66,65,None,0,0.0
2025-07-12,Saturday,Jaydev Vihar,Rainy,None,104,100,Accident,28,22.4
2025-07-24,Thursday,Kalpana Square,Foggy,Rath Yatra,92,90,None,0,0.0
2025-07-23,Wednesday,Khandagiri,Sunny,None,74,70,VIP Convoy,23,18.4
2025-03-28,Friday,Jaydev Vihar,Rainy,Holi,106,100,None,0,0.0
2025-01-21,Tuesday,Master Canteen,Rainy,None,109,100,Bad Roads,5,4.0
2025-03-03,Monday,Rasulgarh,Sunny,None,75,70,None,0,0.0
2025-01-17,Friday,Airport Road,Foggy,None,60,59,None,0,0.0
2025-05-24,Saturday,Rasulgarh,Rainy,None,97,97,None,0,0.0
2025-01-17,Friday,Khandagiri,Sunny,None,74,71,Bad Roads,8,6.4
2025-08-24,Sunday,Khandagiri,Foggy,None,102,100,Sports Event,13,10.4
2025-01-23,Thursday,Rasulgarh,Cloudy,None,75,73,None,0,0.0
2025-02-17,Monday,Khandagiri,Humid,None,60,65,None,0,0.0
2025-07-16,Wednesday,Rasulgarh,Sunny,None,75,73,None,0,0.0
2025-07-09,Wednesday,Airport Road,Cloudy,None,50,54,None,0,0.0
2025-04-04,Friday,Airport Road,Sunny,None,50,54,None,0,0.0
2025-03-03,Monday,Rasulgarh,Sunny,None,75,77,None,0,0.0
2025-02-14,Friday,Jaydev Vihar,Cloudy,None,84,79,Bad Roads,6,4.8
2025-07-05,Saturday,Master Canteen,Humid,None,107,100,Political Rally,14,11.2
2025-04-30,Wednesday,Airport Road,Rainy,None,61,65,None,0,0.0
2025-01-15,Wednesday,Kalpana Square,Sunny,None,65,69,None,0,0.0
2025-08-08,Friday,Kalpana Square,Cloudy,None,84,85,Sports Event,13,10.4
2025-01-29,Wednesday,Airport Road,Sunny,None,64,68,Sports Event,10,8.0
2025-08-20,Wednesday,Jaydev Vihar,Sunny,None,70,66,None,0,0.0
2025-08-29,Friday,Khandagiri,Foggy,Independence Day,85,87,None,0,0.0
2025-02-11,Tuesday,Airport Road,Foggy,None,60,56,None,0,0.0
2025-05-13,Tuesday,Jaydev Vihar,Rainy,None,104,100,Accident,30,24.0
2025-03-07,Friday,Master Canteen,Sunny,Holi,96,92,None,0,0.0
2025-02-23,Sunday,Airport Road,Foggy,None,64,67,None,0,0.0
2025-02-18,Tuesday,Khandagiri,Foggy,None,68,73,None,0,0.0
2025-01-06,Monday,Jaydev Vihar,Humid,None,70,73,None,0,0.0
2025-08-01,Friday,Airport Road,Foggy,None,59,60,None,0,0.0
2025-01-13,Monday,Rasulgarh,Humid,None,75,77,None,0,0.0
2025-08-03,Sunday,Rasulgarh,Sunny,None,100,96,Construction Work,9,7.2
2025-04-24,Thursday,Airport Road,Rainy,None,65,68,None,0,0.0
2025-08-06,Wednesday,Kalpana Square,Rainy,Independence Day,100,99,None,0,0.0
2025-01-30,Thursday,Khandagiri,Humid,None,60,55,None,0,0.0
2025-06-28,Saturday,Khandagiri,Sunny,None,72,71,None,0,0.0
2025-04-30,Wednesday,Jaydev Vihar,Rainy,None,83,81,None,0,0.0
2025-03-31,Monday,Master Canteen,Foggy,None,89,87,None,0,0.0
2025-04-18,Friday,Kalpana Square,Sunny,None,65,60,None,0,0.0
2025-05-21,Wednesday,Khandagiri,Sunny,None,60,63,None,0,0.0
2025-06-06,Friday,Jaydev Vihar,Humid,None,70,66,None,0,0.0
2025-02-22,Saturday,Rasulgarh,Humid,None,81,80,None,0,0.0
2025-06-29,Sunday,Kalpana Square,Cloudy,None,71,70,None,0,0.0
2025-07-24,Thursday,Khandagiri,Foggy,None,78,83,Political Rally,18,14.4
2025-07-19,Saturday,Airport Road,Rainy,Rath Yatra,98,100,None,0,0.0
2025-04-06,Sunday,Kalpana Square,Cloudy,None,92,94,VIP Convoy,17,13.6
2025-07-07,Monday,Master Canteen,Foggy,None,95,91,Sports Event,14,11.2
2025-08-22,Friday,Khandagiri,Humid,None,60,55,None,0,0.0
2025-07-25,Friday,Khandagiri,Foggy,None,69,67,None,0,0.0
2025-07-03,Thursday,Jaydev Vihar,Rainy,None,84,88,None,0,0.0
2025-07-29,Tuesday,Master Canteen,Rainy,None,112,100,VIP Convoy,17,13.6
2025-08-05,Tuesday,Rasulgarh,Sunny,None,75,73,None,0,0.0
2025-07-13,Sunday,Kalpana Square,Cloudy,None,72,71,None,0,0.0
2025-03-14,Friday,Khandagiri,Sunny,None,60,62,None,0,0.0
2025-01-30,Thursday,Airport Road,Rainy,None,62,57,None,0,0.0
2025-06-05,Thursday,Khandagiri,Rainy,None,77,79,None,0,0.0
2025-08-23,Saturday,Jaydev Vihar,Foggy,None,81,81,None,0,0.0
2025-08-04,Monday,Master Canteen,Foggy,Independence Day,109,100,None,0,0.0
2025-04-16,Wednesday,Kalpana Square,Foggy,None,73,73,None,0,0.0
2025-05-05,Monday,Kalpana Square,Foggy,None,87,91,Bad Roads,7,5.6
2025-04-15,Tuesday,Khandagiri,Rainy,None,95,94,Bad Roads,9,7.2
2025-09-03,Wednesday,Jaydev Vihar,Cloudy,None,70,74,None,0,0.0
2025-01-14,Tuesday,Jaydev Vihar,Sunny,None,70,72,None,0,0.0
2025-05-30,Friday,Jaydev Vihar,Foggy,None,85,80,Construction Work,7,5.6
2025-03-29,Saturday,Khandagiri,Cloudy,None,75,70,None,0,0.0
2025-08-22,Friday,Rasulgarh,Sunny,Independence Day,110,100,Accident,26,20.8
2025-03-21,Friday,Kalpana Square,Rainy,None,105,100,Accident,21,16.8
2025-03-28,Friday,Jaydev Vihar,Rainy,None,88,87,None,0,0.0
2025-01-11,Saturday,Khandagiri,Cloudy,None,84,82,Bad Roads,7,5.6
2025-06-19,Thursday,Rasulgarh,Cloudy,None,90,93,Construction Work,8,6.4
2025-08-03,Sunday,Jaydev Vihar,Sunny,None,75,75,None,0,0.0
2025-07-23,Wednesday,Rasulgarh,Cloudy,None,75,70,None,0,0.0
2025-09-07,Sunday,Kalpana Square,Sunny,None,86,85,Construction Work,7,5.6
2025-02-18,Tuesday,Airport Road,Cloudy,None,50,55,None,0,0.0
2025-06-30,Monday,Rasulgarh,Cloudy,None,75,76,None,0,0.0
2025-08-03,Sunday,Khandagiri,Humid,None,68,66,None,0,0.0
2025-08-06,Wednesday,Master Canteen,Foggy,None,85,88,None,0,0.0
2025-04-25,Friday,Airport Road,Sunny,None,63,64,Accident,26,20.8
2025-06-15,Sunday,Kalpana Square,Humid,None,70,71,None,0,0.0
2025-05-15,Thursday,Airport Road,Foggy,None,58,53,None,0,0.0
2025-03-08,Saturday,Master Canteen,Sunny,None,103,100,Bad Roads,6,4.8
2025-01-18,Saturday,Khandagiri,Foggy,None,84,85,None,0,0.0
2025-03-12,Wednesday,Rasulgarh,Cloudy,None,75,78,None,0,0.0
2025-04-14,Monday,Kalpana Square,Humid,None,65,63,None,0,0.0
2025-03-12,Wednesday,Khandagiri,Rainy,Holi,118,100,Political Rally,11,8.8
2025-01-13,Monday,Kalpana Square,Sunny,None,85,81,Bad Roads,6,4.8
2025-09-08,Monday,Kalpana Square,Rainy,None,80,82,None,0,0.0
2025-09-03,Wednesday,Airport Road,Cloudy,None,50,45,None,0,0.0
2025-05-13,Tuesday,Jaydev Vihar,Sunny,None,70,71,None,0,0.0
2025-02-06,Thursday,Airport Road,Foggy,None,60,61,None,0,0.0
2025-08-04,Monday,Airport Road,Sunny,None,62,60,Construction Work,7,5.6
2025-02-01,Saturday,Airport Road,Rainy,None,68,63,None,0,0.0
2025-04-14,Monday,Rasulgarh,Sunny,None,75,79,None,0,0.0
2025-05-09,Friday,Kalpana Square,Sunny,None,80,76,Political Rally,20,16.0
2025-04-03,Thursday,Jaydev Vihar,Foggy,None,89,88,Political Rally,14,11.2
2025-01-11,Saturday,Kalpana Square,Humid,None,89,93,Construction Work,5,4.0
2025-09-04,Thursday,Khandagiri,Cloudy,None,80,85,Construction Work,9,7.2
2025-08-11,Monday,Rasulgarh,Rainy,None,91,93,None,0,0.0
2025-03-06,Thursday,Khandagiri,Sunny,None,60,60,None,0,0.0
2025-04-04,Friday,Khandagiri,Sunny,None,60,56,None,0,0.0
2025-04-14,Monday,Jaydev Vihar,Cloudy,None,84,88,Construction Work,10,8.0
2025-02-13,Thursday,Kalpana Square,Sunny,None,65,66,None,0,0.0
2025-01-16,Thursday,Rasulgarh,Rainy,None,85,87,None,0,0.0
2025-08-31,Sunday,Kalpana Square,Cloudy,None,93,88,Political Rally,10,8.0
2025-08-22,Friday,Jaydev Vihar,Sunny,None,70,72,None,0,0.0
2025-05-30,Friday,Rasulgarh,Foggy,None,97,100,Political Rally,17,13.6
2025-02-20,Thursday,Khandagiri,Foggy,None,66,69,None,0,0.0
2025-07-26,Saturday,Airport Road,Sunny,None,71,73,Political Rally,13,10.4
2025-09-04,Thursday,Khandagiri,Sunny,None,76,72,Bad Roads,6,4.8
2025-06-19,Thursday,Jaydev Vihar,Cloudy,None,70,69,None,0,0.0
2025-02-22,Saturday,Rasulgarh,Rainy,None,121,100,Bad Roads,10,8.0
2025-08-16,Saturday,Jaydev Vihar,Cloudy,None,88,88,Sports Event,11,8.8
2025-04-27,Sunday,Airport Road,Humid,None,76,71,Sports Event,8,6.4
2025-05-17,Saturday,Airport Road,Cloudy,None,76,73,Accident,21,16.8
2025-08-12,Tuesday,Airport Road,Humid,None,50,47,None,0,0.0
2025-04-20,Sunday,Master Canteen,Foggy,None,97,94,None,0,0.0
2025-03-07,Friday,Khandagiri,Sunny,None,60,59,None,0,0.0
2025-02-19,Wednesday,Khandagiri,Foggy,None,89,93,Accident,22,17.6
2025-02-27,Thursday,Rasulgarh,Foggy,None,101,100,Bad Roads,10,8.0
2025-08-09,Saturday,Master Canteen,Rainy,None,109,100,None,0,0.0
2025-01-30,Thursday,Kalpana Square,Foggy,None,73,77,None,0,0.0
2025-01-20,Monday,Master Canteen,Cloudy,None,80,79,None,0,0.0
2025-03-09,Sunday,Master Canteen,Foggy,None,107,100,VIP Convoy,25,20.0
2025-07-02,Wednesday,Master Canteen,Cloudy,None,80,83,None,0,0.0
2025-01-15,Wednesday,Airport Road,Humid,None,70,67,VIP Convoy,22,17.6
2025-03-15,Saturday,Khandagiri,Sunny,None,84,88,Political Rally,11,8.8
2025-04-27,Sunday,Khandagiri,Rainy,None,87,87,None,0,0.0
2025-05-20,Tuesday,Master Canteen,Foggy,None,90,88,None,0,0.0
2025-04-11,Friday,Jaydev Vihar,Rainy,None,91,89,Bad Roads,6,4.8
2025-08-30,Saturday,Jaydev Vihar,Sunny,None,77,78,None,0,0.0
2025-05-16,Friday,Airport Road,Foggy,None,58,54,None,0,0.0
2025-06-28,Saturday,Khandagiri,Foggy,None,70,72,None,0,0.0
2025-05-27,Tuesday,Airport Road,Rainy,None,62,66,None,0,0.0
2025-06-29,Sunday,Airport Road,Humid,None,58,56,None,0,0.0
2025-01-18,Saturday,Rasulgarh,Rainy,None,96,99,None,0,0.0
2025-04-20,Sunday,Rasulgarh,Humid,None,86,82,None,0,0.0
2025-06-05,Thursday,Master Canteen,Rainy,None,94,98,None,0,0.0
2025-07-29,Tuesday,Kalpana Square,Rainy,None,85,88,None,0,0.0
2025-08-28,Thursday,Master Canteen,Rainy,Independence Day,109,100,None,0,0.0
2025-02-28,Friday,Kalpana Square,Rainy,None,77,72,None,0,0.0
2025-03-09,Sunday,Airport Road,Cloudy,None,62,67,None,0,0.0
2025-04-27,Sunday,Airport Road,Rainy,None,71,72,None,0,0.0
2025-03-18,Tuesday,Khandagiri,Foggy,None,66,65,None,0,0.0
2025-03-28,Friday,Khandagiri,Foggy,None,69,66,None,0,0.0
2025-05-16,Friday,Khandagiri,Rainy,None,80,81,None,0,0.0
2025-03-18,Tuesday,Master Canteen,Rainy,None,93,93,None,0,0.0
2025-08-10,Sunday,Khandagiri,Sunny,Independence Day,105,100,Accident,30,24.0
2025-01-30,Thursday,Jaydev Vihar,Sunny,None,70,67,None,0,0.0
2025-01-09,Thursday,Jaydev Vihar,Cloudy,None,70,75,None,0,0.0
2025-07-30,Wednesday,Rasulgarh,Humid,None,92,91,Construction Work,9,7.2
2025-08-09,Saturday,Rasulgarh,Rainy,None,97,100,None,0,0.0
2025-02-04,Tuesday,Airport Road,Cloudy,None,63,64,Sports Event,15,12.0
2025-05-06,Tuesday,Airport Road,Sunny,None,50,45,None,0,0.0
2025-02-08,Saturday,Master Canteen,Foggy,None,96,91,None,0,0.0
2025-06-19,Thursday,Jaydev Vihar,Rainy,None,81,78,None,0,0.0
2025-08-14,Thursday,Jaydev Vihar,Foggy,None,78,80,None,0,0.0
2025-04-25,Friday,Master Canteen,Sunny,None,80,82,None,0,0.0
2025-06-23,Monday,Khandagiri,Foggy,None,67,64,None,0,0.0
2025-05-29,Thursday,Airport Road,Cloudy,None,50,52,None,0,0.0
2025-02-14,Friday,Kalpana Square,Cloudy,None,65,61,None,0,0.0
2025-08-04,Monday,Jaydev Vihar,Foggy,None,92,88,Accident,28,22.4
2025-01-22,Wednesday,Kalpana Square,Sunny,None,65,65,None,0,0.0
2025-03-16,Sunday,Master Canteen,Sunny,None,101,100,Political Rally,15,12.0
2025-04-12,Saturday,Rasulgarh,Humid,None,90,85,None,0,0.0
2025-02-09,Sunday,Master Canteen,Sunny,None,109,100,Construction Work,10,8.0
2025-04-26,Saturday,Airport Road,Foggy,None,69,74,None,0,0.0
2025-04-25,Friday,Kalpana Square,Humid,None,65,65,None,0,0.0
2025-09-07,Sunday,Rasulgarh,Cloudy,None,101,100,Political Rally,17,13.6
2025-06-02,Monday,Master Canteen,Rainy,None,93,92,None,0,0.0
2025-04-11,Friday,Jaydev Vihar,Rainy,None,83,86,None,0,0.0
2025-05-08,Thursday,Airport Road,Cloudy,None,50,51,None,0,0.0
2025-07-22,Tuesday,Kalpana Square,Humid,None,65,67,None,0,0.0
2025-05-17,Saturday,Kalpana Square,Sunny,None,75,73,None,0,0.0
2025-02-04,Tuesday,Jaydev Vihar,Cloudy,None,70,68,None,0,0.0
2025-04-07,Monday,Khandagiri,Foggy,None,68,68,None,0,0.0
2025-09-08,Monday,Jaydev Vihar,Humid,None,70,68,None,0,0.0
2025-06-17,Tuesday,Rasulgarh,Sunny,None,94,98,Accident,22,17.6
2025-03-18,Tuesday,Khandagiri,Cloudy,None,60,56,None,0,0.0
2025-08-13,Wednesday,Master Canteen,Foggy,None,90,95,None,0,0.0
2025-01-14,Tuesday,Master Canteen,Cloudy,None,80,85,None,0,0.0
2025-08-31,Sunday,Kalpana Square,Cloudy,None,73,68,None,0,0.0
2025-08-27,Wednesday,Jaydev Vihar,Cloudy,None,81,82,Construction Work,7,5.6
2025-03-08,Saturday,Kalpana Square,Cloudy,None,77,77,None,0,0.0
2025-05-17,Saturday,Airport Road,Sunny,None,63,65,None,0,0.0
2025-07-25,Friday,Kalpana Square,Humid,None,65,66,None,0,0.0
2025-08-20,Wednesday,Master Canteen,Rainy,Independence Day,111,100,None,0,0.0
2025-05-23,Friday,Master Canteen,Rainy,None,93,97,None,0,0.0
2025-05-03,Saturday,Jaydev Vihar,Cloudy,None,77,72,None,0,0.0
2025-06-28,Saturday,Kalpana Square,Rainy,None,92,95,Bad Roads,5,4.0
2025-05-10,Saturday,Khandagiri,Humid,None,65,68,None,0,0.0
2025-07-19,Saturday,Master Canteen,Sunny,None,91,92,None,0,0.0
2025-05-21,Wednesday,Kalpana Square,Humid,None,65,62,None,0,0.0
2025-05-22,Thursday,Kalpana Square,Sunny,None,65,61,None,0,0.0
2025-02-04,Tuesday,Jaydev Vihar,Foggy,None,76,72,None,0,0.0
2025-07-10,Thursday,Jaydev Vihar,Rainy,None,80,75,None,0,0.0
2025-01-05,Sunday,Kalpana Square,Rainy,None,90,86,None,0,0.0
2025-01-21,Tuesday,Airport Road,Rainy,None,61,60,None,0,0.0
2025-08-30,Saturday,Jaydev Vihar,Foggy,None,84,83,None,0,0.0
2025-02-02,Sunday,Khandagiri,Sunny,None,86,90,Political Rally,11,8.8
2025-01-09,Thursday,Jaydev Vihar,Humid,None,70,69,None,0,0.0
2025-06-03,Tuesday,Airport Road,Humid,None,50,52,None,0,0.0
2025-05-12,Monday,Airport Road,Cloudy,None,67,71,Sports Event,10,8.0
2025-07-10,Thursday,Master Canteen,Rainy,None,116,100,Political Rally,20,16.0
2025-06-13,Friday,Khandagiri,Rainy,None,70,73,None,0,0.0
2025-08-18,Monday,Khandagiri,Sunny,None,60,57,None,0,0.0
2025-08-07,Thursday,Master Canteen,Cloudy,None,80,75,None,0,0.0
2025-06-09,Monday,Master Canteen,Rainy,None,111,100,Accident,26,20.8
2025-02-25,Tuesday,Kalpana Square,Cloudy,None,65,62,None,0,0.0
2025-07-23,Wednesday,Kalpana Square,Sunny,Rath Yatra,89,91,None,0,0.0
2025-09-07,Sunday,Master Canteen,Foggy,None,114,100,Accident,21,16.8
2025-01-30,Thursday,Kalpana Square,Foggy,None,92,89,Accident,22,17.6
2025-08-02,Saturday,Master Canteen,Foggy,None,100,95,None,0,0.0
2025-04-17,Thursday,Kalpana Square,Sunny,None,65,61,None,0,0.0
2025-05-10,Saturday,Jaydev Vihar,Foggy,None,94,92,None,0,0.0
2025-01-19,Sunday,Master Canteen,Foggy,None,99,97,None,0,0.0
2025-03-04,Tuesday,Jaydev Vihar,Foggy,None,79,80,None,0,0.0
2025-06-06,Friday,Airport Road,Rainy,None,89,86,Accident,28,22.4
2025-09-03,Wednesday,Kalpana Square,Rainy,None,77,75,None,0,0.0
2025-04-18,Friday,Airport Road,Humid,None,61,58,Bad Roads,9,7.2
2025-07-03,Thursday,Airport Road,Sunny,None,50,51,None,0,0.0
2025-02-04,Tuesday,Airport Road,Cloudy,None,50,46,None,0,0.0
2025-03-01,Saturday,Airport Road,Rainy,None,72,71,None,0,0.0
2025-04-08,Tuesday,Master Canteen,Sunny,None,94,99,Accident,28,22.4
2025-04-26,Saturday,Khandagiri,Sunny,None,86,86,Accident,25,20.0
2025-08-23,Saturday,Kalpana Square,Foggy,None,105,100,Accident,28,22.4
2025-05-29,Thursday,Kalpana Square,Cloudy,None,65,70,None,0,0.0
2025-01-14,Tuesday,Rasulgarh,Cloudy,None,75,72,None,0,0.0
2025-01-09,Thursday,Kalpana Square,Cloudy,None,81,83,Political Rally,10,8.0
2025-04-24,Thursday,Airport Road,Foggy,None,76,74,Political Rally,12,9.6
2025-08-02,Saturday,Jaydev Vihar,Foggy,None,91,88,None,0,0.0
2025-06-02,Monday,Master Canteen,Humid,None,80,77,None,0,0.0
2025-02-04,Tuesday,Khandagiri,Humid,None,74,75,Sports Event,12,9.6
2025-08-31,Sunday,Airport Road,Foggy,None,68,71,None,0,0.0
2025-08-14,Thursday,Master Canteen,Rainy,Independence Day,110,100,None,0,0.0
2025-08-15,Friday,Kalpana Square,Sunny,None,82,84,Accident,25,20.0
2025-03-23,Sunday,Master Canteen,Foggy,Holi,117,100,None,0,0.0
2025-01-20,Monday,Kalpana Square,Cloudy,None,81,83,Construction Work,8,6.4
2025-01-19,Sunday,Kalpana Square,Foggy,None,85,81,None,0,0.0
2025-03-12,Wednesday,Master Canteen,Sunny,None,80,84,None,0,0.0
2025-05-09,Friday,Master Canteen,Foggy,None,96,93,Political Rally,10,8.0
2025-03-14,Friday,Jaydev Vihar,Sunny,None,70,71,None,0,0.0
2025-07-29,Tuesday,Airport Road,Cloudy,None,70,67,Sports Event,15,12.0
2025-06-25,Wednesday,Kalpana Square,Rainy,None,84,87,None,0,0.0
2025-06-20,Friday,Master Canteen,Cloudy,None,80,75,None,0,0.0
2025-06-09,Monday,Jaydev Vihar,Cloudy,None,70,73,None,0,0.0
2025-07-24,Thursday,Rasulgarh,Sunny,None,75,72,None,0,0.0
2025-08-11,Monday,Kalpana Square,Cloudy,None,65,62,None,0,0.0
2025-04-18,Friday,Airport Road,Foggy,None,71,71,Construction Work,11,8.8
2025-02-04,Tuesday,Rasulgarh,Humid,None,86,83,Bad Roads,10,8.0
2025-04-04,Friday,Jaydev Vihar,Foggy,None,80,78,None,0,0.0
2025-07-31,Thursday,Master Canteen,Cloudy,Rath Yatra,100,99,None,0,0.0
2025-03-06,Thursday,Airport Road,Sunny,None,50,52,None,0,0.0
2025-08-23,Saturday,Master Canteen,Humid,None,87,92,None,0,0.0
2025-05-29,Thursday,Master Canteen,Sunny,None,91,91,Sports Event,13,10.4
2025-07-24,Thursday,Airport Road,Humid,None,63,60,Bad Roads,10,8.0
2025-01-17,Friday,Rasulgarh,Foggy,None,82,77,None,0,0.0
2025-04-29,Tuesday,Airport Road,Foggy,None,58,61,None,0,0.0
2025-03-04,Tuesday,Jaydev Vihar,Cloudy,Holi,95,100,None,0,0.0
2025-05-13,Tuesday,Khandagiri,Humid,None,60,58,None,0,0.0
2025-05-02,Friday,Rasulgarh,Sunny,None,75,77,None,0,0.0
2025-08-21,Thursday,Master Canteen,Humid,None,80,75,None,0,0.0
2025-01-05,Sunday,Airport Road,Humid,None,59,60,None,0,0.0
2025-02-26,Wednesday,Kalpana Square,Cloudy,None,65,69,None,0,0.0
2025-07-09,Wednesday,Jaydev Vihar,Sunny,None,70,72,None,0,0.0
2025-01-18,Saturday,Jaydev Vihar,Rainy,None,94,99,None,0,0.0
2025-01-14,Tuesday,Kalpana Square,Rainy,None,75,79,None,0,0.0
2025-03-04,Tuesday,Khandagiri,Humid,None,60,64,None,0,0.0
2025-01-12,Sunday,Kalpana Square,Rainy,None,103,100,Bad Roads,7,5.6
2025-07-30,Wednesday,Master Canteen,Foggy,None,85,82,None,0,0.0
2025-07-01,Tuesday,Airport Road,Foggy,Rath Yatra,73,69,None,0,0.0
2025-08-29,Friday,Airport Road,Cloudy,None,50,45,None,0,0.0
2025-06-20,Friday,Kalpana Square,Foggy,None,71,74,None,0,0.0
2025-05-18,Sunday,Master Canteen,Cloudy,None,102,100,Construction Work,11,8.8
2025-03-02,Sunday,Airport Road,Sunny,None,63,61,None,0,0.0
2025-03-18,Tuesday,Jaydev Vihar,Humid,None,70,68,None,0,0.0
2025-02-20,Thursday,Rasulgarh,Humid,None,75,76,None,0,0.0
2025-07-21,Monday,Khandagiri,Humid,None,60,56,None,0,0.0
2025-01-03,Friday,Khandagiri,Cloudy,None,71,75,VIP Convoy,15,12.0
2025-02-07,Friday,Airport Road,Foggy,None,71,75,Political Rally,19,15.2
2025-04-21,Monday,Khandagiri,Foggy,None,66,68,None,0,0.0
2025-08-11,Monday,Master Canteen,Foggy,None,105,100,Political Rally,12,9.6
2025-03-12,Wednesday,Master Canteen,Foggy,Holi,115,100,Bad Roads,5,4.0
2025-09-04,Thursday,Khandagiri,Rainy,None,88,92,Political Rally,12,9.6
2025-08-09,Saturday,Khandagiri,Rainy,Independence Day,111,100,None,0,0.0
2025-07-20,Sunday,Master Canteen,Foggy,Rath Yatra,124,100,None,0,0.0
2025-07-31,Thursday,Rasulgarh,Sunny,Rath Yatra,112,100,Bad Roads,10,8.0
2025-08-03,Sunday,Airport Road,Foggy,None,64,61,None,0,0.0
2025-07-26,Saturday,Jaydev Vihar,Humid,None,76,72,None,0,0.0
2025-05-16,Friday,Master Canteen,Cloudy,None,80,75,None,0,0.0
2025-04-16,Wednesday,Khandagiri,Cloudy,None,80,81,Political Rally,11,8.8
2025-03-06,Thursday,Airport Road,Humid,None,50,49,None,0,0.0
2025-01-18,Saturday,Rasulgarh,Cloudy,None,83,81,None,0,0.0
2025-08-18,Monday,Airport Road,Humid,None,64,59,Accident,25,20.0
2025-09-03,Wednesday,Rasulgarh,Humid,None,75,78,None,0,0.0
2025-06-23,Monday,Master Canteen,Sunny,None,92,94,Sports Event,12,9.6
2025-05-18,Sunday,Kalpana Square,Cloudy,None,85,88,VIP Convoy,22,17.6
2025-01-24,Friday,Airport Road,Rainy,None,79,84,Accident,22,17.6
